StichtagDatJahr,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2021,22776,50,50- bis 59-Jährige,6,1,männlich,1,11,Kreis 11,11,119,Seebach,119,Berner Sennenhund,,1,Rassehund,1,I,Rassentypenliste I,2,2014,6,6-Jährige,6,1,männlich,1,tricolor,1
2021,22950,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,119,Seebach,119,Mittelpudel,,1,Rassehund,1,K,Kleinwüchsig,1,2013,7,7-Jährige,7,2,weiblich,2,schwarz,1
2021,23054,60,60- bis 69-Jährige,7,2,weiblich,2,10,Kreis 10,10,101,Höngg,101,Cairn Terrier,,1,Rassehund,1,K,Kleinwüchsig,1,2011,9,9-Jährige,9,1,männlich,1,rot/beige,1
2021,23408,40,40- bis 49-Jährige,5,1,männlich,1,12,Kreis 12,12,122,Schwamendingen-Mitte,122,Yorkshire Terrier,,1,Rassehund,1,K,Kleinwüchsig,1,2011,9,9-Jährige,9,2,weiblich,2,black/tan,1
2021,23453,40,40- bis 49-Jährige,5,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Golden Retriever,Rottweiler,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2016,4,4-Jährige,4,2,weiblich,2,schwarz/weiss/braun,1
2021,23493,70,70- bis 79-Jährige,8,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Boxer,,1,Rassehund,1,I,Rassentypenliste I,2,2013,7,7-Jährige,7,1,männlich,1,braun/weiss,1
2021,23590,60,60- bis 69-Jährige,7,2,weiblich,2,9,Kreis 9,9,92,Altstetten,92,Affenpinscher,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,K,Kleinwüchsig,1,2012,8,8-Jährige,8,2,weiblich,2,schwarz,1
2021,23635,50,50- bis 59-Jährige,6,2,weiblich,2,7,Kreis 7,7,71,Fluntern,71,Border Collie,,1,Rassehund,1,I,Rassentypenliste I,2,2020,0,0-Jährige,0,2,weiblich,2,braun/weiss,1
2021,23759,50,50- bis 59-Jährige,6,2,weiblich,2,2,Kreis 2,2,21,Wollishofen,21,Zwergpudel,,1,Rassehund,1,K,Kleinwüchsig,1,2020,0,0-Jährige,0,1,männlich,1,weiss,1
2021,23889,70,70- bis 79-Jährige,8,2,weiblich,2,4,Kreis 4,4,42,Langstrasse,42,Pudel,,1,Rassehund,1,K,Kleinwüchsig,1,2012,8,8-Jährige,8,1,männlich,1,braun,1
2021,23915,50,50- bis 59-Jährige,6,2,weiblich,2,8,Kreis 8,8,82,Mühlebach,82,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2020,0,0-Jährige,0,1,männlich,1,schwarz/weiss,1
2021,24041,50,50- bis 59-Jährige,6,2,weiblich,2,11,Kreis 11,11,115,Oerlikon,115,Bergamasker,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2019,1,1-Jährige,1,2,weiblich,2,schwarz/weiss,1
2021,24246,60,60- bis 69-Jährige,7,1,männlich,1,10,Kreis 10,10,102,Wipkingen,102,Samojede,,1,Rassehund,1,I,Rassentypenliste I,2,2018,2,2-Jährige,2,2,weiblich,2,weiss,1
2021,44439,70,70- bis 79-Jährige,8,1,männlich,1,7,Kreis 7,7,74,Witikon,74,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2005,15,15-Jährige,15,1,männlich,1,hellbraun,1
2021,54322,70,70- bis 79-Jährige,8,1,männlich,1,3,Kreis 3,3,33,Friesenberg,33,Lagotto Romagnolo,,1,Rassehund,1,I,Rassentypenliste I,2,2009,11,11-Jährige,11,1,männlich,1,weiss/orange,1
2021,55176,70,70- bis 79-Jährige,8,1,männlich,1,3,Kreis 3,3,34,Sihlfeld,34,Dobermann,,1,Rassehund,1,I,Rassentypenliste I,2,2016,4,4-Jährige,4,1,männlich,1,schwarz/braun,1
2021,55693,70,70- bis 79-Jährige,8,2,weiblich,2,11,Kreis 11,11,119,Seebach,119,Chihuahua,,1,Rassehund,1,K,Kleinwüchsig,1,2011,9,9-Jährige,9,2,weiblich,2,braun/weiss,1
2021,55835,70,70- bis 79-Jährige,8,2,weiblich,2,8,Kreis 8,8,82,Mühlebach,82,Lagotto Romagnolo,,1,Rassehund,1,I,Rassentypenliste I,2,2009,11,11-Jährige,11,1,männlich,1,marronschimmel,1
2021,60402,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,111,Affoltern,111,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2013,7,7-Jährige,7,1,männlich,1,dunkelbraun,1
2021,61323,70,70- bis 79-Jährige,8,1,männlich,1,8,Kreis 8,8,81,Seefeld,81,Mudi,,1,Rassehund,1,K,Kleinwüchsig,1,2010,10,10-Jährige,10,1,männlich,1,blondfarben,1
2021,62389,70,70- bis 79-Jährige,8,1,männlich,1,8,Kreis 8,8,83,Weinegg,83,Boxer,,1,Rassehund,1,I,Rassentypenliste I,2,2014,6,6-Jährige,6,2,weiblich,2,gestromt,1
2021,63468,80,80- bis 89-Jährige,9,1,männlich,1,7,Kreis 7,7,74,Witikon,74,Pekingese,,1,Rassehund,1,K,Kleinwüchsig,1,2012,8,8-Jährige,8,1,männlich,1,schwarz/weiss,1
2021,63704,70,70- bis 79-Jährige,8,1,männlich,1,10,Kreis 10,10,101,Höngg,101,Dachshund,,1,Rassehund,1,K,Kleinwüchsig,1,2012,8,8-Jährige,8,2,weiblich,2,saufarben,1
2021,64727,50,50- bis 59-Jährige,6,1,männlich,1,8,Kreis 8,8,83,Weinegg,83,Appenzeller Sennenhund,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2016,4,4-Jährige,4,1,männlich,1,tricolor,1
2021,65665,60,60- bis 69-Jährige,7,2,weiblich,2,8,Kreis 8,8,82,Mühlebach,82,Mops,,1,Rassehund,1,K,Kleinwüchsig,1,2019,1,1-Jährige,1,1,männlich,1,beige/schwarz,1
2021,65681,50,50- bis 59-Jährige,6,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Italienisches Windspiel,,1,Rassehund,1,K,Kleinwüchsig,1,2011,9,9-Jährige,9,1,männlich,1,blau,1
2021,65713,70,70- bis 79-Jährige,8,2,weiblich,2,2,Kreis 2,2,21,Wollishofen,21,Lagotto Romagnolo,,1,Rassehund,1,I,Rassentypenliste I,2,2005,15,15-Jährige,15,2,weiblich,2,braun,1
2021,65713,70,70- bis 79-Jährige,8,2,weiblich,2,2,Kreis 2,2,21,Wollishofen,21,Lagotto Romagnolo,,1,Rassehund,1,I,Rassentypenliste I,2,2017,3,3-Jährige,3,2,weiblich,2,braun,1
